STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,ALARM_BOX_BOROUGH,ALARM_BOX_NUMBER,ALARM_BOX_LOCATION,INCIDENT_BOROUGH,ZIPCODE,POLICEPRECINCT,ALARM_SOURCE_DESCRIPTION_TX,INCIDENT_CLASSIFICATION,INCIDENT_CLASSIFICATION_GROUP,DISPATCH_RESPONSE_SECONDS_QY
1.50E+15,1/1/2015 0:37,MANHATTAN,1280,E/S COLUMBUS AVE & 103 ST,MANHATTAN,10025,24,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,8
1.50E+15,1/1/2015 0:38,QUEENS,5248,HILLSIDE AVE & 180 ST,QUEENS,11432,103,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,16
1.50E+15,1/1/2015 0:39,BROOKLYN,601,MYRTLE AVE & ST EDWARDS ST,BROOKLYN,11205,88,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,5
1.50E+15,1/1/2015 0:39,BROOKLYN,1999,STANLEY & SCHENCK AVES,BROOKLYN,11207,75,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,4
1.50E+15,1/1/2015 0:39,BROOKLYN,1880,SUTTER AVE & ELDERT LA,BROOKLYN,11208,75,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,3
1.50E+15,1/1/2015 0:40,MANHATTAN,272,MANGIN & DELANCEY STS,MANHATTAN,10002,7,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,8
1.50E+15,1/1/2015 0:41,MANHATTAN,1651,BROADWAY & 151 ST,MANHATTAN,10031,30,Private Fire Alarm,Odor - Other Than Smoke,NonMedical Emergencies,47
1.50E+15,1/1/2015 0:42,BROOKLYN,3299,AVENUE Y & E 29 ST,BROOKLYN,11235,61,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,9
1.50E+15,1/1/2015 0:42,BRONX,3133,VYSE AVE & 179 ST,BRONX,10460,48,UCT/911,Odor - Other Than Smoke,NonMedical Emergencies,9
1.50E+15,1/1/2015 0:43,MANHATTAN,1771,AUDUBON AVE AND 189TH ST,MANHATTAN,10040,34,Verbal,Medical - Assist Civilian,Medical Emergencies,24
1.50E+15,1/1/2015 0:44,BROOKLYN,1801,BLAKE AVE & LINWOOD ST,BROOKLYN,11208,75,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,4
1.50E+15,1/1/2015 0:44,MANHATTAN,878,2 AVE & E 53 ST,MANHATTAN,10022,17,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,16
1.50E+15,1/1/2015 0:45,MANHATTAN,887,7 AVE & W 54 ST,MANHATTAN,10019,18,UCT/911,Demolition Debris or Rubbish Fire,NonStructural Fires,28
1.50E+15,1/1/2015 0:45,MANHATTAN,1514,W 129 ST & LENOX AVE/MALCOLM X BLVD,MANHATTAN,10027,32,UCT/911,Non-Medical MFA - Phone,NonMedical MFAs,34
1.50E+15,1/1/2015 0:46,MANHATTAN,1776,WADSWORTH AVE & W 191 ST,MANHATTAN,10040,34,UCT/911,Odor - Other Than Smoke,NonMedical Emergencies,26
1.50E+15,1/1/2015 0:47,BROOKLYN,3293,AVENUE X & BROWN ST,BROOKLYN,11235,61,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,1207
1.50E+15,1/1/2015 0:47,QUEENS,8595,COOPER AVE & 68 ST,QUEENS,11385,104,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,4
1.50E+15,1/1/2015 0:48,BRONX,2289,PROSPECT AVE & E 156 ST,BRONX,10455,40,Phone,Assist Civilian - Non-Medical,NonMedical Emergencies,92
1.50E+15,1/1/2015 0:49,MANHATTAN,1641,BROADWAY & 149 ST,MANHATTAN,10031,30,UCT/911,Utility Emergency - Steam,NonMedical Emergencies,9
1.50E+15,1/1/2015 0:49,BRONX,3617,WHITE PLAINS RD & E GUN HILL RD,BRONX,10467,47,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,5
1.50E+15,1/1/2015 0:52,MANHATTAN,483,AVENUE C & E 17 ST,MANHATTAN,10009,13,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,7
1.50E+15,1/1/2015 0:52,MANHATTAN,573,10 AVE & W 17 ST,MANHATTAN,10011,10,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,221
1.50E+15,1/1/2015 0:53,MANHATTAN,743,10 AVE & W 37 ST,MANHATTAN,10018,10,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,6
1.50E+15,1/1/2015 0:53,BRONX,4171,LAFAYETTE AVE AND SHORE DRIVE,BRONX,10465,45,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 0:55,QUEENS,5573,JAMAICA AVE & 221 ST,QUEENS,11428,105,Private Fire Alarm,Alarm System - Defective,NonMedical Emergencies,50
1.50E+15,1/1/2015 0:55,BROOKLYN,3759,EASTERN PKWY EXTENSION & SOMERS ST,BROOKLYN,11233,73,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,15
1.50E+15,1/1/2015 0:56,MANHATTAN,696,5TH AVE AND 32ND ST,MANHATTAN,10001,14,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,8
1.50E+15,1/1/2015 0:56,QUEENS,4263,AUSTIN ST & 63 DR,QUEENS,11374,112,UCT/911,Non-Medical MFA - Phone,NonMedical MFAs,21
1.50E+15,1/1/2015 0:57,QUEENS,2690,ROCHDALE VIL GROUP 4 ENT 133AV & BEDE,QUEENS,11434,113,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,13
1.50E+15,1/1/2015 0:57,MANHATTAN,455,4 AVE & 11 ST,MANHATTAN,10003,9,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,17
1.50E+15,1/1/2015 0:57,BROOKLYN,1057,NOSTRAND AVE & SULLIVAN PL,BROOKLYN,11225,71,Verbal,Medical - Assist Civilian,Medical Emergencies,29
1.50E+15,1/1/2015 0:57,BROOKLYN,900,BROOKLYN AVE & HERKIMER ST,BROOKLYN,11216,79,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,7
1.50E+15,1/1/2015 0:57,BRONX,2417,WESTCHESTER AVE & SIMPSON ST,BRONX,10459,41,UCT/911,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,8
1.50E+15,1/1/2015 0:58,BROOKLYN,711,BUSHWICK AVE & DEKALB AVE,BROOKLYN,11221,83,PD Link/Medical,Medical MFA - PD Link,Medical MFAs,11
1.50E+15,1/1/2015 0:59,BRONX,4345,STILLWELL AVE & VANCE ST,BRONX,10469,49,UCT/911,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,13
1.50E+15,1/1/2015 0:59,MANHATTAN,771,PARK AVE & E 40 ST,MANHATTAN,10016,14,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,8
1.50E+15,1/1/2015 1:00,RICHMOND / STATEN ISLAND,1748,ARDMORE AND PURDY AVES,RICHMOND / STATEN ISLAND,10314,121,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 1:01,BROOKLYN,3977,BAYVIEW AVE 800' N OF NEPTUNE AVE,BROOKLYN,11224,60,UCT/911,Odor - Other Than Smoke,NonMedical Emergencies,8
1.50E+15,1/1/2015 1:01,BROOKLYN,998,SUMPTER ST & STONE/MOTHER GASTON BLVD,BROOKLYN,11233,73,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,383
1.50E+15,1/1/2015 1:01,MANHATTAN,742,8 AVE & W 37 ST,MANHATTAN,10018,14,EMS Link/Medical,Medical MFA - EMS Link,Medical MFAs,27
1.50E+15,1/1/2015 1:02,BROOKLYN,1322,2 AVE & 7 ST,BROOKLYN,11215,78,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,5
1.50E+15,1/1/2015 1:04,MANHATTAN,663,PARK AVE S & E 28 ST,MANHATTAN,10016,13,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 1:04,BROOKLYN,2771,12 AVE & 65 ST,BROOKLYN,11219,68,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,5
1.50E+15,1/1/2015 1:04,MANHATTAN,1185,CENTRAL PARK W & W 89 ST,MANHATTAN,10024,24,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,10
1.50E+15,1/1/2015 1:05,MANHATTAN,116,CHURCH & CHAMBERS STS,MANHATTAN,10007,1,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,6
1.50E+15,1/1/2015 1:06,BRONX,3066,TAYLOR AVE & GUERLAIN ST,BRONX,10460,43,UCT/911,Multiple Dwelling 'A' - Other fire,Structural Fires,31
1.50E+15,1/1/2015 1:07,MANHATTAN,1514,W 129 ST & LENOX AVE/MALCOLM X BLVD,MANHATTAN,10027,32,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,9
1.50E+15,1/1/2015 1:07,BRONX,3530,DECATUR AVE & MOSHOLU PKWY N.,BRONX,10467,52,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,2
1.50E+15,1/1/2015 1:07,QUEENS,2217,QUEENS BLVD & 65 ST,QUEENS,11377,108,UCT/911,Odor - Other Smoke,NonMedical Emergencies,11
1.50E+15,1/1/2015 1:08,MANHATTAN,772,3 AVE & 40 ST,MANHATTAN,10016,17,Verbal,Medical - Assist Civilian,Medical Emergencies,31
1.50E+15,1/1/2015 1:09,BROOKLYN,921,KINGSTON AVE & PARK PL,BROOKLYN,11213,77,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,6
1.50E+15,1/1/2015 1:11,MANHATTAN,160,LAFAYETTE & FRANKLIN STS,MANHATTAN,10013,5,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,348
1.50E+15,1/1/2015 1:11,BRONX,2294,ST ANNS AVE & E 156 ST,BRONX,10455,40,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,5
1.50E+15,1/1/2015 1:11,BROOKLYN,1266,6 AVE & 7 ST,BROOKLYN,11215,78,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,197
1.50E+15,1/1/2015 1:11,BROOKLYN,7035,BMT N&R @ 59 ST & 4 AVE,BROOKLYN,11220,72,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 1:12,BROOKLYN,921,KINGSTON AVE & PARK PL,BROOKLYN,11213,77,UCT/911,Non-Medical MFA - Phone,NonMedical MFAs,24
1.50E+15,1/1/2015 1:13,MANHATTAN,876,3 AVE & E 52 ST,MANHATTAN,10022,17,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,252
1.50E+15,1/1/2015 1:13,BROOKLYN,2899,BAY 13 & 86 ST,BROOKLYN,11214,62,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,5
1.50E+15,1/1/2015 1:14,MANHATTAN,755,2 AVE & E 39 ST,MANHATTAN,10016,17,EMS Link/Medical,Assist Civilian - Non-Medical,NonMedical Emergencies,196
1.50E+15,1/1/2015 1:14,MANHATTAN,1137,WEST END AVE & 82 ST,MANHATTAN,10024,20,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,647
1.50E+15,1/1/2015 1:15,MANHATTAN,1277,1 AVE & 102 ST,MANHATTAN,10029,23,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,8
1.50E+15,1/1/2015 1:16,RICHMOND / STATEN ISLAND,3233,CORTELYOU AVE AND EAST BRANDIS AVE,RICHMOND / STATEN ISLAND,10312,122,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,7
1.50E+15,1/1/2015 1:17,BROOKLYN,810,KNICKERBOCKER AVE & HALSEY ST,BROOKLYN,11207,83,UCT/911,Utility Emergency - Gas,NonMedical Emergencies,13
1.50E+15,1/1/2015 1:17,MANHATTAN,897,BROADWAY & W 55 ST,MANHATTAN,10019,18,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,8
1.50E+15,1/1/2015 1:17,MANHATTAN,193,MULBERRY & HESTER STS,MANHATTAN,10013,5,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,8
1.50E+15,1/1/2015 1:18,QUEENS,7531,24TH AVE AND CRESCENT ST,QUEENS,11105,114,UCT/911,Non-Medical MFA - Phone,NonMedical MFAs,36
1.50E+15,1/1/2015 1:18,MANHATTAN,8472,WATERSIDE-FDR DR & 27 ST-N/S BLDG 10-ST,MANHATTAN,10010,13,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,192
1.50E+15,1/1/2015 1:18,BRONX,3381,CRESTON AVE & KINGSBRIDGE RD,BRONX,10468,52,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,4
1.50E+15,1/1/2015 1:19,MANHATTAN,1406,PARK AVE & E 118 ST,MANHATTAN,10035,25,UCT/911,Utility Emergency - Water,NonMedical Emergencies,8
1.50E+15,1/1/2015 1:19,MANHATTAN,1541,AMSTERDAM AVE & 132 ST,MANHATTAN,10031,26,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,10
1.50E+15,1/1/2015 1:19,BROOKLYN,241,UNION AVE & GRAND ST,BROOKLYN,11206,90,Phone,Utility Emergency - Gas,NonMedical Emergencies,29
1.50E+15,1/1/2015 1:19,MANHATTAN,1408,W 118 ST & LENOX AVE\MALCOLM X BLVD,MANHATTAN,10026,28,UCT/911,Undefined Emergency,NonMedical Emergencies,0
1.50E+15,1/1/2015 1:21,QUEENS,4791,LIBERTY AVE & MERRICK BLVD,QUEENS,11433,103,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,8
1.50E+15,1/1/2015 1:21,BROOKLYN,3019,OCEAN AVE & AVENUE J,BROOKLYN,11230,70,Verbal,Assist Civilian - Non-Medical,NonMedical Emergencies,28
1.50E+15,1/1/2015 1:22,QUEENS,9777,67 AVE & 212 ST,QUEENS,11364,111,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,6
1.50E+15,1/1/2015 1:22,BROOKLYN,3558,SURF AVE & STILLWELL AVE,BROOKLYN,11224,60,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,5
1.50E+15,1/1/2015 1:23,BRONX,3686,BARNES AVE & 225 ST,BRONX,10466,47,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,6
1.50E+15,1/1/2015 1:24,BRONX,4345,STILLWELL AVE & VANCE ST,BRONX,10469,49,UCT/911,Assist Civilian - Non-Medical,NonMedical Emergencies,26
1.50E+15,1/1/2015 1:25,QUEENS,5014,109 AVE & GUY R. BREWER BLVD,QUEENS,11433,103,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,178
1.50E+15,1/1/2015 1:25,BROOKLYN,283,PORTER AVE & INGRAHAM ST,BROOKLYN,11237,90,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,7
1.50E+15,1/1/2015 1:25,MANHATTAN,1503,PARK AVE & E 128 ST,MANHATTAN,10035,25,EMS Link/Medical,Medical - Assist Civilian,Medical Emergencies,14
1.50E+15,1/1/2015 1:26,BROOKLYN,1182,3 AVE & 91 ST,BROOKLYN,11209,68,Phone,Utility Emergency - Steam,NonMedical Emergencies,51
1.50E+15,1/1/2015 1:27,RICHMOND / STATEN ISLAND,4315,BLOOMINGDALE AND WOODROW RD,RICHMOND / STATEN ISLAND,10309,123,UCT/911,Brush Fire,NonStructural Fires,10
1.50E+15,1/1/2015 1:27,MANHATTAN,573,10 AVE & W 17 ST,MANHATTAN,10011,10,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,12
1.50E+15,1/1/2015 1:29,MANHATTAN,1682,BROADWAY & 160 ST,MANHATTAN,10032,33,EMS Link/Medical,Medical - EMS Link 10-91,Medical Emergencies,11
1.50E+15,1/1/2015 1:29,BROOKLYN,670,MYRTLE AVE & WALWORTH ST,BROOKLYN,11205,79,PD Link/Medical,Medical - PD Link 10-91,Medical Emergencies,12
1.50E+15,1/1/2015 1:29,BROOKLYN,1014,TROY AVE & EASTERN PKWY,BROOKLYN,11213,71,UCT/911,Alarm System - Defective,NonMedical Emergencies,19
1.50E+15,1/1/2015 1:30,MANHATTAN,703,MADISON AVE & E 33 ST,MANHATTAN,10016,14,PD Link/Medical,Medical - Assist Civilian,Medical Emergencies,23
